Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.BetaFeatures.RobloxClassicTitle,,,Roblox Classic,Roblox Classic,,Roblox Classic,,,Roblox Classic,Roblox Classic,定番のRoblox,Roblox 클래식,Roblox Classic,Roblox clássico,,Roblox คลาสสิก,Klasik Roblox,Roblox Cũ,,,Roblox 經典
Studio.BetaFeatures.ChromeTitle,,,Updated Roblox Controls,Updated Roblox Controls,,Aktualisierte Roblox-Steuerelemente,,,Kontrol Roblox yang Di-update,Controlli Roblox aggiornati,更新済みのRoblox操作,Roblox 컨트롤 업데이트,Zaktualizowane elementy sterujące aplikacji Roblox,Controles Roblox atualizados,,การควบคุม Roblox ที่อัปเดตแล้ว,Güncellenmiş Roblox Kontrolleri,Điều Khiển Mới Trong Roblox,,,已更新 Roblox 控制
Studio.BetaFeatures.AcousticsSimulationApiDescription,,,"Enables the physical simulation of the environment's audio acoustics, including elements like occlusion, diffraction, and reverberation.","Enables the physical simulation of the environment's audio acoustics, including elements like occlusion, diffraction, and reverberation.",,"Aktiviert die physikalische Simulation der Audioakustik der Umgebung, einschließlich Elementen wie Okklusion, Beugung und Nachhall.",,,"Mengaktifkan simulasi fisik terhadap akustik audio lingkungan yang meliputi beberapa elemen, seperti oklusi, difraksi, dan gaung.","Consente la simulazione fisica dell'acustica ambientale, inclusi elementi come occlusione, diffrazione e riverbero.",,"폐쇄, 회절, 반향 등의 요소를 포함하여 환경의 오디오 음향에 대한 물리적 시뮬레이션을 활성화합니다.","Umożliwia fizyczną symulację akustyki środowiska z uwzględnieniem takich zjawisk jak okluzja, dyfrakcja i odbicia.","Permite a simulação física da acústica de áudio do ambiente, incluindo elementos como oclusão, dispersão e reverberação.",,เปิดใช้งานการจำลองฟิสิกส์ของเสียงของสภาพแวดล้อม รวมถึงองค์ประกอบ เช่น การบดบัง การหักเห และการสะท้อนก้อง,"Emilme, difraksiyon ve yankı gibi unsurlarıyla çevre sesi akustiğinin fiziksel simülasyonunu sağlar.","Cho phép mô phỏng vật lý độ vang âm thanh của môi trường, bao gồm các yếu tố như độ hấp thụ âm, độ nhiễu xạ và phản xạ của sóng âm thanh.",,,啟用環境音訊聲學的物理模擬，包括閉塞、繞射和混響等元素。
Studio.BetaFeatures.RobloxClassicDescription,,,Enable tools to create a Roblox Classic experience (R15 experience that plays like an R6).,Enable tools to create a Roblox Classic experience (R15 experience that plays like an R6).,,"Aktiviere die Tools, um ein Roblox-Classic-Erlebnis zu erstellen (ein R15-Erlebnis, das sich wie ein R6 spielt).",,,Aktifkan alat untuk membuat pengalaman virtual Roblox Classic (pengalaman virtual R15 yang bisa dimainkan layaknya R6).,Abilita gli strumenti per creare un'esperienza Roblox Classic (esperienza R15 che sembra R6).,ツールを有効にして、Robloxの定番バーチャル空間（R6のようにプレイするR15バーチャル空間）を制作。,Roblox 클래식 체험(R6처럼 플레이되는 R15 체험)을 만들 수 있는 도구를 활성화합니다.,"Udostępnia narzędzia do tworzenia projektów Roblox Classic (projekty R15, w które gra się tak jak w projekty R6).",Ativar ferramentas para criar uma experiência Roblox Clássica (experiência R15 que joga como R6),,เปิดใช้งานเครื่องมือเพื่อสร้างประสบการณ์ดั้งเดิม Roblox (ประสบการณ์ R15 ที่เล่นเหมือนกับ R6),Klasik Roblox deneyimleri oluşturan araçları etkinleştir (R6 gibi oynanan R15 deneyimler).,Bật các công cụ để tạo một trải nghiệm Roblox Cũ (trải nghiệm R15 chơi giống như R6).,,,啟用工具以建立 Roblox 經典體驗（玩起來像 R6 體驗的 R15 體驗）。
Studio.BetaFeatures.AudioWiringApiDescription,,,"Enables new instances for customizing, processing, and routing sounds or voices within the engine","Enables new instances for customizing, processing, and routing sounds or voices within the engine",,"Ermöglicht neue Instanzen zum Anpassen, Verarbeiten und Weiterleiten von Sounds oder Stimmen innerhalb der Engine",,,"Mengaktifkan instans baru untuk kustomisasi, pemrosesan, dan perutean suara di dalam mesin","Abilita nuove istanze per personalizzare, elaborare e instradare suoni o voci all'interno del motore",,"새로운 인스턴스를 활성화해 엔진 내에서 사운드 또는 음성을 사용자 정의, 처리, 라우팅합니다.","Udostępnia nowe instancje do konfigurowania, przetwarzania i routingu dźwięków lub głosów w ramach silnika.","Habilita novas instâncias para personalizar, processar e rotear sons ou vozes dentro do mecanismo",,"เปิดใช้งานอินสแตนซ์ใหม่สำหรับการปรับแต่ง, การประมวลผล และกำหนดเส้นทางเสียง หรือเสียงพูดต่างๆ ภายใน Engine","Motorda seslerin özelleştirilebilmesi, işlenebilmesi ve yönlendirilebilmesi için yeni örnekler etkinleştirir","Bật các phiên bản mới để tùy chỉnh, xử lý và định tuyến âm thanh hoặc giọng nói bên trong động cơ",,,啟用新個體以對於引擎中的聲音或語音進行自訂、處理與路由
Studio.BetaFeatures.FacialAnimationBetaTitle,,,Facial Animation,Facial Animation,,Gesichtsanimation,,,Animasi Wajah,Animazione facciale,表情アニメーション,얼굴 애니메이션,Animacja twarzy,Animação facial,,การเคลื่อนไหวใบหน้า,Yüz Animasyonu,Hiệu Ứng Khuôn Mặt,,,臉部動畫
Studio.BetaFeatures.MaterialPickerTitle,,,Material Picker,Material Picker,,Materialwähler,,,Pemilih Material,Selettore di materiale,素材ピッカー,재질 선택기,Selektor materiałów,Seletor de materiais,,เครื่องมือเลือกวัสดุ,Malzeme Seçici,Bộ Chọn Vật Liệu,,,材質選擇器
Studio.BetaFeatures.PackagePermissionsDescription,,,"Add any group, user, or role as a user or editor for your packages through the Package Management action in Game Explorer","Add any group, user, or role as a user or editor for your packages through the Package Management action in Game Explorer",,"Füge durch die Paketverwaltungsaktion im Game Explorer Gruppen, Benutzer oder Rollen als Benutzer oder Bearbeiter für deine Pakete hinzu",,,"Menambahkan grup, pengguna, atau peran apa pun sebagai pengguna atau editor untuk paketmu melalui tindakan Pengelolaan Paket di Eksplorer Game","Aggiungi un gruppo, utente o ruolo da utente o editor per i tuoi pacchetti tramite l'azione Gestione pacchetti in Game Explorer",ゲームエクスプローラでのパッケージ管理動作を通じてお持ちのパッケージのためにあらゆるグループ、ユーザー、またはユーザーか編集者としての役割を追加,"게임 탐색기에서 패키지 관리 작업을 통해 그룹, 사용자 또는 역할을 패키지의 사용자 또는 편집자로 추가합니다.","Dodaj do swoich pakietów dowolną grupę lub użytkownika w roli użytkownika lub edytującego, korzystając z akcji zarządzania pakietami w eksploratorze gier","Adiciona qualquer grupo, usuário ou função, como um usuário ou editor para seus pacotes, através da ação Gerenciamento de pacotes no Explorador de jogo",,"เพิ่มกลุ่ม, ผู้ใช้งาน หรือบทบาทใดก็ตามเป็นผู้ใช้งานหรือผู้แก้ไขให้แพ็คเกจของคุณผ่านทางการดำเนินการจัดการแพ็คเกจในการสำรวจในเกม","Herhangi bir grubu, kullanıcıyı ya da rolü Oyun Gezgini'ndeki Paket Yönetimi üzerinden paketlerine kullanıcı ya da düzenleyici olarak ekle","Thêm bất kỳ nhóm, người dùng hoặc vai trò nào làm người dùng hoặc người chỉnh sửa cho các gói của bạn thông qua thao tác Quản Lý Gói trong Trình Khám Phá Game",,,使用遊戲總管裡的套件管理動作來將任何群組、使用者或角色新增為您套件的使用者或編輯者
Studio.BetaFeatures.FacialAnimationBetaDescription,,,Enable the FaceControls instance which supports facial animation for avatars that have a dynamic-head.,Enable the FaceControls instance which supports facial animation for avatars that have a dynamic-head.,,"Aktiviere die Instanz FaceControls, die Gesichtsanimationen für Avatare mit einem dynamischen Kopf unterstützt.",,,Mengaktifkan instans FaceControls yang mendukung animasi wajah untuk avatar yang memiliki kepala dinamis.,Abilita l'istanza di FaceControls che supporta l'animazione facciale per gli avatar che hanno una testa dinamica.,動く頭があるアバターの表情アニメーションに対応する FaceControls インスタンスを有効化。,다이내믹 헤드를 가진 아바타의 얼굴 애니메이션을 지원하는 FaceControls 인스턴스를 활성화합니다.,"Włącz instancję FaceControls, która obsługuje animacje twarzy w przypadku awatarów z dynamicznymi głowami.","Ativa a instância FaceControls, que suporta animação facial para avatares que tem cabeças dinâmicas.",,เปิดใช้งานอินสแตนซ์ FaceControls ซึ่งช่วยเหลือการเคลื่อนไหวใบหน้าของอวาตาร์ที่มีศีรษะแบบไดนามิก,Dinamik kafalı avatarlarda yüz animasyonunu destekleyen FaceControls örneğini etkinleştir.,Bật phiên bản FaceControl hỗ trợ hiệu ứng khuôn mặt cho avatar có đầu động.,,,啟用 FaceControls 個體，其支援擁有動態頭部之虛擬人偶的臉部動畫。
Studio.BetaFeatures.ProximityPromptTitle,,,Proximity Prompt Beta,Proximity Prompt Beta,,Annäherungsaufforderung Beta,,,Perintah Kedekatan Beta,ProximityPrompt Beta,近接プロンプトベータ版,근접 프롬프트 베타,Proximity Prompt w wersji beta,Aviso de proximidade beta,,Proximity Prompt เบต้า,Yakınlığa Göre İstem Beta,Nhắc Nhở Khoảng Cách Gần Beta,,,距離提示 Beta 測試
Studio.BetaFeatures.PathfindingLinksTitle,,,Pathfinding Links,Pathfinding Links,,Pfadfindungslinks,,,Tautan Pathfinding,Collegamenti di pathfinding,経路探索リンク,경로 찾기 링크,Linki do wyszukiwania ścieżek,Links Pathfinding,,จุดเชื่อมโยงการค้นหาเส้นทาง,Yol Bulma Bağlantıları,Liên Kết Tìm Đường,,,路徑搜尋連接
Studio.BetaFeatures.LuaCharacterControllerDescription,,,"A Lua based replacement for the default animate script and the built-in Humanoid State Machine that provides new built-in abilities and other enhancements to character movement over time. This beta adds a Lua State Machine, Lua Motion Compositor, and Lua Abilities framework to the default avatar along with a new movement ability - crouching. It also enhances existing locomotion with new animations and fidelity improvements such as foot-planting. These can be modified using the ability configuration settings via Lua and custom attributes.","A Lua based replacement for the default animate script and the built-in Humanoid State Machine that provides new built-in abilities and other enhancements to character movement over time. This beta adds a Lua State Machine, Lua Motion Compositor, and Lua Abilities framework to the default avatar along with a new movement ability - crouching. It also enhances existing locomotion with new animations and fidelity improvements such as foot-planting. These can be modified using the ability configuration settings via Lua and custom attributes.",,"Ein Lua-basierter Ersatz für das Standard-Animationsskript und die eingebaute humanoide Zustandsmaschine, der neue eingebaute Fähigkeiten und andere Verbesserungen der Charakterbewegung im Laufe der Zeit bietet. Diese Beta fügt dem Standard-Avatar eine Lua-Zustandsmaschine, einen Lua-Bewegungskompositor und ein Lua-Fähigkeiten-Framework sowie eine neue Bewegungsfähigkeit – das Hocken – hinzu. Außerdem wird die bestehende Fortbewegung durch neue Animationen und Verbesserungen der Bewegungstreue, wie das Aufsetzen der Füße, verbessert. Diese können mit den Konfigurationseinstellungen der Fähigkeit über Lua und benutzerdefinierte Attribute modifiziert werden.",,,"Pengganti berbasis Lua untuk skrip animasi default dan State Machine Humanoid bawaan yang memberikan kemampuan bawaan baru dan penyempurnaan lainnya untuk gerakan karakter dari waktu ke waktu. Versi beta ini menambahkan kerangka kerja Lua State Machine, Lua Motion Compositor, dan Lua Abilities ke avatar default serta kemampuan gerakan baru, yaitu merunduk. Versi ini juga menyempurnakan gerakan berpindah yang sudah ada dengan animasi baru dan peningkatan fidelitas, seperti peletakan kaki. Semua ini dapat dimodifikasi dengan pengaturan konfigurasi kemampuan melalui atribut kustom dan Lua.","Una sostituzione basata su Lua per lo script animato predefinito e la macchina statale umanoide integrata che fornisce nuove abilità integrate e altri miglioramenti al movimento del personaggio nel tempo. Questa beta aggiunge framework Lua State Machine, Lua Motion Compositor, e Lua Abilities per l'avatar predefinito insieme a una nuova capacità di movimento: accovacciamento. Inoltre migliora la locomozione esistente con nuove animazioni e miglioramenti della fedeltà come la piantagione di piante. Questi possono essere modificati utilizzando le impostazioni di configurazione di abilità tramite Lua e attributi personalizzati.",デフォルトのアニメーションスクリプトと、キャラクターの動きに新しい組み込み能力やその他の機能強化を提供する内蔵ヒューマノイド・ステートマシンをLuaベースに置き換え。 このベータ機能はLua ステートマシン、Lua 動作合成機能、Lua 能力の枠組みに「かがむ」という新しい動く能力などがついたデフォルトのアバターを追加します。また、新しいアニメーションや忠実度の改善で着地など、既存の動き方を向上させます。 これらは、Luaとカスタム属性から能力の環境設定を使用して変更できます。,"기본 애니메이션 스크립트와 새로운 내장 휴머노이드 상태 머신을 Lua 기반으로 대체하여 시간이 지남에 따라 캐릭터 이동에 새로운 내장 능력과 기타 향상된 기능을 제공합니다. 이 베타는 기본 아바타에 Lua 상태 머신, Lua 모션 컴포지터 및 Lua 능력 프레임워크를 추가하고, 새로운 이동 능력인 웅크리기 기능도 추가합니다. 또한 새로운 애니메이션과 풋 플랜트와 같은 충실도 개선을 통해 기존의 로코모션을 향상합니다. 이는 Lua 및 사용자 정의 특성을 통한 기능 구성 설정을 사용해 수정할 수 있습니다.","Oparta na języku Lua struktura zastępująca domyślny skrypt animacji i wbudowaną humanoidalną maszynę stanów, która z upływem czasu udostępnia nowe wbudowane zdolności oraz inne usprawnienia w poruszaniu się postaci. W tej wersji beta dodano maszynę stanów Lua, kompozytor ruchów Lua oraz strukturę zdolności Lua dla awatara domyślnego, a także nową zdolność poruszania się – kucanie. Usprawniono też istniejące ruchy poprzez dodanie nowych animacji i zwiększono wierność ruchów, takich jak stawianie stóp. Można wprowadzać modyfikacje przy użyciu opcji konfiguracji zdolności za pomocą języka Lua i atrybutów niestandardowych.","Uma substituição baseada em Lua para o script padrão de animações e a máquina de estado humanoide embutida que fornece novas habilidades incorporadas e outras melhorias de movimento de personagem ao longo do tempo. Esta beta adiciona uma Máquina do Estado Lua, o Compositor de Movimento Lua, e o framework Habilidades Lua para o avatar padrão, juntamente com uma nova habilidade de movimento - agachamento. Reforça também a locomoção existente com novas animações e melhorias de fidelidade, como a plantação de pés. Estas podem ser modificadas usando as configurações de habilidade através de atributos Lua e atributos personalizados.",,"การแทนที่ตาม Lua ของสคริปต์เคลื่อนไหวค่าเริ่มต้น และ State Machine ของฮิวแมนอยด์ในตัวที่มอบความสามารถในตัว และการเสริมประสิทธิภาพอื่นๆ ให้แก่การเคลื่อนไหวตัวละครเมื่อเวลาผ่านไป เบต้านี้เพิ่ม State Machine, เครื่องมือจัดวางองค์ประกอบการเคลื่อนไหว Lua และกรอบการดำเนินงานความสามารถ Lua ให้แก่อวาตาร์ค่าเริ่มต้น พร้อมด้วยความสามารถในการเคลื่อนไหวใหม่ - การหมอบคลาน นอกจากนั้นยังเสริมประสิทธิภาพการเคลื่อนไหวที่มีอยู่แล้วด้วยแอนิเมชันใหม่ และการปรับปรุงความเที่ยงตรง เช่น การวางเท้า สามารถแก้ไขสิ่งเหล่านี้ได้โดยการใช้การตั้งค่าการกำหนดค่าความสามารถผ่านทาง Lua และคุณลักษณะที่กำหนดเอง","Varsayılan animasyon betiğinin ve yerleşik Humanoid Makine Durumu'nun yerini alarak karakter hareketine yeni yerleşik kabiliyetler ve başka geliştirmeler ekleyen Lua tabanlı alternatif. Varsayılan avatara yeni çömelme hareketi kabiliyetinin yanı sıra Lua Makine Durumu, Lua Hareket Dizicisi ve Lua Kabiliyetleri çerçevesi ekler. Ayrıca mevcut hareketleri yeni animasyonlar ekleyerek ve ayak basma gibi bağlılık yenilikleriyle geliştirir. Bunlar, Lua ve özel nitelikler üzerinden kabiliyet yapılandırma ayarları kullanarak düzenlenebilir.","Việc thay thế dựa trên Lua đối với tập lệnh hiệu ứng động mặc định và Máy Trạng Thái Người Máy tích hợp cung cấp các khả năng tích hợp mới và các cải tiến khác cho sự chuyển động nhân vật theo thời gian. Bản beta này bổ sung Máy Trạng Thái Lua, Trình Tổng Hợp Chuyển Động Lua và khung Khả Năng Lua vào avatar mặc định cùng với khả năng di chuyển mới - cúi người. Bản beta này cũng cải thiện khả năng vận động hiện tại bằng các hiệu ứng động mới và cải thiện độ chân thực như đặt chân xuống. Các cải tiến này có thể được sửa đổi bằng cách sử dụng cài đặt điều chỉnh khả năng thông qua Lua và các thuộc tính tùy chỉnh.",,,預設動畫指令碼和內建人形狀態機器的 Lua 式替代架構，能針對角色隨時間的移動提供新的內建能力和其他增強功能。此 Beta 測試會為預設虛擬人偶新增 Lua 狀態機器、Lua 運動合成器，以及 Lua 能力架構，並追加新的移動能力「蹲下」，也會透過新的動畫和腳部接地等保真度改善來強化現有的移動。這些可透過 Lua 和自訂屬性的能力組態設定來加以修改。
Studio.BetaFeatures.LuaPropertiesDescription,,,Enable the preview of the Next Gen Properties Panel - featuring better performance and a revamped UI,Enable the preview of the Next Gen Properties Panel - featuring better performance and a revamped UI,,Aktiviere die Vorschau des Next Gen-Eigenschaftsfensters – mit besserer Leistung und einer überarbeiteten UI,,,Aktifkan pratinjau Panel Properti Generasi Masa Depan - memberikan kinerja lebih prima dan UI yang disempurnakan,"Abilita l'anteprima del pannello delle proprietà Next Gen, con prestazioni migliori e un'interfaccia utente rinnovata",,더 나은 성능과 개편된 UI를 갖춘 차세대 속성 패널의 미리 보기를 활성화합니다.,Włącz podgląd panelu właściwości nowej generacji – przygotuj się na większą wydajność i odświeżony interfejs,Ativar a visualização Painel de propriedades da próxima geração - com melhor desempenho e uma interface de usuário renovada,,เปิดใช้งานการดูตัวอย่างของแผงคุณสมบัติรุ่นถัดไป - มีประสิทธิภาพที่ดียิ่งขึ้นและ UI ที่ปรับปรุงแล้ว,Daha gelişmiş bir performansa ve yenilenmiş arayüze sahip Yeni Nesil Özellikler Paneli'nin ön izlemesini etkinleştir,Bật tính năng xem trước Bảng Thuộc Tính Thế Hệ Mới – với hiệu suất cao hơn và UI được tân trang,,,啟用 Next Gen 屬性面板的預覽：具有更好的效能和重新設計的 UI
Studio.BetaFeatures.AdaptiveTimesteppingTitle,,,Adaptive timestepping,Adaptive timestepping,,Adaptives Timestepping,,,Timestepping adaptif,Timestepping adattivo,,적응형 타임스텝,Adaptacyjne odcinki czasu,Intervalos de tempo adaptativos,,ช่วงเวลาที่ปรับได้,Uyarlanabilir zaman adımları,Bước thời gian thích ứng,,,適應性時步
Studio.BetaFeatures.NewExplorerFilteringTitle,,,Advanced Explorer Filtering,Advanced Explorer Filtering,,Erweiterte Explorer-Filterung,,,Pemfilteran Eksplorer Lanjutan,Filtro esploratore avanzato,,고급 탐색기 필터링,Zaawansowane filtrowanie w eksploratorze,Filtro avançado do Explorador,,การกรองสำรวจขั้นสูง,Gelişmiş Gezgin Filtreleri,Tính Năng Lọc Nâng Cao của Trình Khám Phá,,,進階總管篩選
Studio.BetaFeatures.LuauDataModelAwarenessTitle,,,Luau DataModel awareness,Luau DataModel awareness,,Luau DataModel-Bewusstsein,,,Kesadaran DataModel Luau,Consapevolezza DataModel Luau,Luau DataModel 認知,Luau DataModel 인식,Świadomość modelu Luau DataModel,Conhecimento Luau Datamodel,,การตระหนักรู้ DataModel Luau,Luau DataModel farkındalığı,Nhận thức về DataModel của Luau,,,Luau DataModel 認知
Studio.BetaFeatures.ImportQueueDescription,,,Enable the bulk import of multiple 3D files through the Import 3D tool.,Enable the bulk import of multiple 3D files through the Import 3D tool.,,Aktiviere den Massenimport mehrerer 3D-Dateien über das 3D-Import-Tool.,,,Mengaktifkan impor massal banyak file 3D menggunakan alat Impor 3D.,Abilita l'importazione in blocco di più file 3D con lo strumento Importazione 3D.,3D インポートツールで複数の3Dファイルの一括インポートを有効化。,3D 가져오기 도구를 통해 여러 3D 파일의 일괄 가져오기를 활성화합니다.,"Włącz importowanie zbiorcze wielu plików 3D, korzystając z narzędzia Import 3D.",Ativar a importação em massa de vários arquivos 3D através da ferramenta de importação 3D.,,เปิดใช้งานการนำเข้าจำนวนมากสำหรับไฟล์ 3D ผ่านเครื่องมือ 3D นำเข้า,3B İçe Aktarım aracı kullanarak çok sayıda 3B dosyanın toplu içe aktarımını etkinleştirir.,Cho phép nhập hàng loạt nhiều tệp tin 3D thông qua công cụ Nhập 3D.,,,透過匯入 3D 工具啟用多個 3D 檔案的大量匯入。
Studio.BetaFeatures.WhatsNewWindowDescription,,,Open up a scrolling window that shows all of the recent updates to Roblox Studio,Open up a scrolling window that shows all of the recent updates to Roblox Studio,,"Öffne ein Bildlauffenster, in dem alle aktuellen Updates für Roblox Studio angezeigt werden",,,Membuka jendela gulir yang menampilkan semua update terkini di Roblox Studio,Apre una finestra di scorrimento che mostra tutti gli aggiornamenti recenti di Roblox Studio,Roblox Studioの最近の更新をすべて表示するスクロールウィンドウを開く,Roblox Studio의 모든 최신 업데이트를 표시하는 스크롤 창을 엽니다.,"Otwórz okno z przewijaniem, w którym widoczne są wszystkie ostatnie aktualizacje Roblox Studio",Abrir uma janela deslizante que mostra todas as atualizações recentes do Roblox Studio,,เปิดหน้าต่างการเลื่อนที่แสดงการอัปเดตล่าสุดทั้งหมดของ Roblox Studio,Roblox Studio'nun son güncellemelerini gösteren bir kaydırma penceresi açar,Mở một cửa sổ cuộn hiển thị tất cả các bản cập nhật gần đây cho Roblox Studio,,,開啟顯示所有 Roblox Studio 近期更新的捲動視窗
Studio.BetaFeatures.LuauDataModelAwarenessDescription,,,"When typechecking scripts, incorporate the shape of the game's DataModel","When typechecking scripts, incorporate the shape of the game's DataModel",,Ziehe bei der Typenüberprüfung von Skripten die Form des DataModel des Spiels ein,,,"Ketika melakukan typecheck skrip, bentuk DataModel game akan disertakan","Quando si effettuano gli script di controllo della tipologia, incorpora la struttura di DataModel del gioco",スクリプトの型チェックの際、ゲームの DataModel を組み込む,"스크립트 유형 검사 시, 게임의 DataModel 모양을 통합합니다.",Podczas sprawdzania typów w skryptach uwzględniaj kształt modelu DataModel gry,"Quando verificar scripts, incorporar a forma do DataModel do jogo",,ขณะที่ตรวจสอบความถูกต้องสคริปต์ รวมรูปร่างของ DataModel ของเกมเข้าด้วยกัน,Betik metinlerini kontrol ederken oyunun DataModel'ının şeklini dâhil et,"Khi kiểm tra đánh máy tập lệnh, hãy kết hợp hình dạng DataModel của trò chơi",,,檢查指令碼類型時，參考遊戲的 DataModel 形狀
Studio.BetaFeatures.NewDockingDescription,,,"New docking logic that allows undocking of the 3D Viewport and addresses docking corruption glitches and issues. Please note when enabled, this will start with a new layout. Your old layout will be restored if you disable this feature.","New docking logic that allows undocking of the 3D Viewport and addresses docking corruption glitches and issues. Please note when enabled, this will start with a new layout. Your old layout will be restored if you disable this feature.",,"Neue Docking-Logik, die das Abdocken des 3D-Ansichtsfensters ermöglicht und Probleme mit Docking-Korruption behebt. Bitte beachte, dass bei Aktivierung dieser Funktion ein neues Layout erstellt wird. Dein altes Layout wird wiederhergestellt, wenn du diese Funktion deaktivierst.",,,"Logika docking baru yang memungkinkan pelepasan docking Viewport 3D dan penanggulangan glitch serta masalah kerusakan docking. Harap diingat, saat diaktifkan, fitur ini akan memulai dengan tata letak baru. Tata letak lama akan kembali dipakai jika fitur ini dinonaktifkan.","Nuova logica di agganciamento che permette di disinserire la finestra 3D e affronta i problemi e le anomalie che intaccano il corretto funzionamento. Ricorda che quando abilitata, questa inizierà con un nuovo layout. Il vecchio layout verrà ripristinato se disabiliti questa funzione.",3Dビューポートのドッキング解除を可能にする新しいドッキングロジックがドッキング破損の不具合や問題にも対処します。 有効にすると新しいレイアウトで始まるのでご注意ください。この機能を無効にすると古いレイアウトが復元されます。,3D 뷰포트의 도킹 해제를 허용하고 도킹 손상 결함 및 문제를 해결하는 새로운 도킹 로직입니다. 이 기능을 활성화하면 새로운 레이아웃으로 시작됩니다. 비활성화하면 이전 레이아웃이 복원됩니다.,"Nowa logika dokowania, która umożliwia odłączenie okna podglądu 3D i rozwiązuje problemy i usterki dokowania. Pamiętaj, że włączenie tej funkcji spowoduje przejście do nowego układu. Stary układ zostanie przywrócony po wyłączeniu tej funkcji.","Nova lógica de acoplamento que permite desacoplar o modo Janela 3D e resolve problemas e falhas de acoplamento. Observe que, quando ativado, isto começará com um novo layout. Seu layout antigo será restaurado se você desativar este recurso.",,ตรรกะการยึดโยงใหม่จะช่วยในการยกเลิกการยึดโยง Viewport 3D และแก้ไขข้อบกพร่องและปัญหาการชำรุดเสียหายของการยึดโยง โปรดทราบว่าเมื่อเปิดใช้งาน คุณสมบัตินี้จะเริ่มเค้าโครงใหม่ เค้าโครงเก่าของคุณจะได้รับการกู้คืนหากคุณปิดใช้งานคุณสมบัตินี้,3B görünüm penceresinin yerinden çıkarılmasına izin veren ve yerleştirmeyle ilgili bozulma aksaklıklarını ve sorunlarını gideren yeni yerleştirme mantığı. Etkinleştirildiğinde yeni bir düzenle başlayacağını lütfen unutma. Bu özelliği devre dışı bırakırsan eski düzenin geri yüklenir.,"Logic neo mới cho phép bỏ neo Khung Nhìn 3D và khắc phục các trục trặc và sự cố liên quan đến hỏng hóc khi đậu. Lưu ý: khi bật tính năng này, bố cục mới sẽ được bắt đầu. Bố cục cũ của bạn sẽ được khôi phục nếu bạn tắt tính năng này.",,,新的對接邏輯可允許將 3D 視角解除對接，並解決對接損毀的故障和問題。請注意，啟用此功能時，將會以新的配置開始。您的舊配置將會在您停用此功能時還原。
Studio.BetaFeatures.AnimationCompositorTitle,,,Animation Compositor,Animation Compositor,,Animations-Compositor,,,Kompositor Animasi,Compositore animazioni,アニメーション合成,애니메이션 컴포지터,Kompozytor animacji,Compositor de animação,,ตัวผสมแอนิเมชัน,Animasyon Dizici,Trình Tổng Hợp Hiệu Ứng Động,,,動畫合成器
Studio.BetaFeatures.AnimationEditorDescription,,,Enables the new Beta version of the Animation Editor.,Enables the new Beta version of the Animation Editor.,,Aktiviert die neue Beta-Version des Animation-Editors.,,,Mengaktifkan Editor Animasi versi Beta yang baru.,Abilita la nuova versione beta dell'editor di animazioni.,アニメーション編集の新規ベータバージョンを有効化。,애니메이션 편집기의 새로운 베타 버전을 활성화합니다.,Włącza nową wersję beta edytora animacji.,Habilita a nova versão beta do Editor de animação.,,เปิดใช้งานเวอร์ชันเบต้าใหม่ของเครื่องมือแก้ไขแอนิเมชัน,Animasyon Düzenleyici'nin yeni beta sürümünü etkinleştirir.,Bật phiên bản Beta mới của Trình Biên Tập Hiệu Ứng Động.,,,啟用動畫編輯器的新 Beta 版本。
Studio.BetaFeatures.AcceleratedCollisionPipelineTitle,,,Accelerated Collision Pipeline,Accelerated Collision Pipeline,,Beschleunigte Kollisionspipeline,,,Jalur Benturan Dipercepat,Pipeline collisioni accelerate,加速衝突パイプライン,가속 충돌 파이프라인,Procedura szybszego wykrywania kolizji,Linha de colisão acelerada,,ไปป์ไลน์การชนกันแบบเร่งความเร็ว,Hızlandırılmış Çarpışma Hattı,Đường Ống Va Chạm Tăng Tốc,,,加速碰撞管線
Studio.BetaFeatures.LuaCharacterControllerTitle,,,Character movement abilities framework,Character movement abilities framework,,Framework für die Bewegungsfähigkeiten der Charaktere,,,Kerangka kerja kemampuan bergerak karakter,Quadro delle abilità di movimento dei personaggi,キャラクターの移動能力の枠組み,캐릭터 이동 능력 프레임워크,Struktura zdolności poruszania się postaci,Estrutura de habilidades de movimento do personagem,,กรอบการดำเนินงานความสามารถการเคลื่อนไหวตัวละคร,Karakter hareket kabiliyeti çerçevesi,Khung khả năng di chuyển của nhân vật,,,角色移動能力架構
Studio.BetaFeatures.TerrainEditorTitle,,,Terrain Editor,Terrain Editor,,Gelände-Editor,,,Editor Medan,Editor del terreno,地形編集,지형 편집기,Edytor terenu,Editor de terreno,,เครื่องมือแก้ไขภูมิประเทศ,Arazi Düzenleyici,Trình Chỉnh Sửa Địa Hình,,,地形編輯器
